RMR,γ(kN/m3),D(m),B(m),qu(MPa),S/B,ϕ(o),qult(MPa)
70,19.89,4.91,1.07,0.63,1.86,29.3,2.63
70,19.89,4.27,1.22,0.8,1.62,29.3,2.54
70,19.89,9.17,1.37,10.49,2,29.3,15.23
82,19.01,6.1,1.22,22.98,1.75,25,26.33
70,21.27,1.1,0.79,1.21,3.46,30,6.94
70,19.89,1.52,0.76,0.48,3.2,30,2.25
70,18.86,18.29,1.28,1.38,2.38,35,5.84
68,17.45,20.73,1.92,0.57,1.03,35,2.29
80,20.28,18.29,0.76,1.11,2.4,35,4.79
20,19.25,1.82,0.91,0.66,0.67,28,0.59
15,19.25,3.42,0.86,0.89,0.71,28,0.5
15,19.25,3.42,0.86,1.14,0.71,28,0.6
15,19.25,7.77,0.86,1.25,0.71,30,0.6
15,19.25,2.13,0.14,0.9,0.36,28,0.48
72,19.25,5.18,0.14,0.82,2.14,28,3.35
60,19.25,5.49,0.14,0.82,2.18,30,2.4
55,19.25,9.14,0.14,0.82,2.18,30,1
70,19.25,10.67,0.14,0.82,2.18,30,0.96
68,19.25,12.19,0.14,0.55,2.18,30,0.96
35,19.25,7.62,0.14,0.6,2.18,30,1.15
35,19.25,10.36,0.14,0.61,2.18,30,1.46
35,19.25,6.91,0.14,0.58,2.18,30,1.61
40,19.25,2.34,0.14,0.5,2.18,30,1.11
50,19.25,3.86,0.14,0.53,2.18,30,1.03
50,19.25,5.39,0.14,0.9,2.18,30,0.46
35,19.25,5.79,0.14,0.9,2.14,28,2.07
35,19.25,4.27,0.14,0.9,2.14,28,2
15,19.25,11.73,0.14,0.87,2.14,28,3.5
20,26.51,19,1.2,15,0.51,35,8.9
75,23.56,13.5,1.2,2.5,2.29,37,8.9
55,22.57,14.02,0.61,8.36,1,30,10.1
60,22.57,15.24,0.61,9.26,1,30,13.1
78,20.56,8.8,0.76,0.81,4.01,24,4.69
65,25.74,0.3,0.46,3.82,2.65,25,9.33
65,21.5,1.52,0.31,1.08,6.39,40,2.98
70,19.25,7.7,0.14,0.46,14.18,28,2.39
90,16.82,12.12,0.14,1.04,14.15,38.5,12.26
80,17.61,7.7,0.14,1.04,14.15,38.5,5.27
92,18.08,14.48,0.14,1.04,14.15,38.5,14.75
70,28.3,4.19,1.06,2.1,2.86,20,6.51
70,25.15,4.19,1.06,6.7,2.86,20,16.1
70,26.72,4.19,1.06,4.2,2.86,20,10.9
70,23.58,4.19,1.06,5.4,2.86,20,15.7
70,24.37,4.19,1.06,8.5,2.86,20,23
70,23.58,4.19,1.06,11.3,2.86,20,27.7
15,19.25,0,0.87,0.31,0.7,30,0.3
15,19.25,0,0.87,0.92,0.7,30,0.5
15,19.25,0,0.87,0.24,0.7,30,0.25
18,19.25,0,0.87,0.56,0.7,30,0.5
20,19.25,0,0.87,0.5,0.7,30,0.5
62,27.67,0,0.15,13.8,13.03,28,20
80,19.25,8.69,0.45,0.91,5.49,30,5
70,23.56,5.49,2.74,1.92,0.72,40,4.51
70,23.56,5.49,2.74,8.47,0.72,40,5.75
80,25.52,0,0.3,1.07,6.1,41.3,18
70,22.17,0,0.3,4.72,6.6,29.83,10.53
72,22.17,0,0.3,4.03,6.6,29.83,10
70,22.17,0,0.3,4.03,6.6,29.83,11.16
75,22.17,0,0.3,3.35,6.6,29.83,12
65,22.17,0,0.3,2,6.6,29.83,5.92
65,25.15,0,0.08,14,26.42,34,75.6
65,25.15,0,0.05,11.61,36.69,34,72.8
70,24.05,0.6,0.15,9.99,12.95,28,25
70,24.05,0.94,0.29,6,6.83,28,13.8
70,24.05,1.36,0.29,6,3.15,27,7.67
80,22.48,0,0.62,0.3,4.96,27,4.5
80,22.48,0,0.37,0.3,6.5,27,3.75
90,23.67,3.32,0.41,35,1.47,27,23.57
60,19.65,7.32,0.7,9,0.86,32,13.1
60,23.67,0,0.46,1.45,1.99,36,4.44
70,23.67,0,0.61,1.45,2.5,36,6.62
50,23.67,0,0.76,1.45,2.01,36,3.47
50,22.52,6.9,0.45,34,1.35,27,28
50,25.15,7.07,0.45,12.5,1.35,34,14
70,25.52,7.9,0.45,27.5,2.03,34,50
50,21.6,7.7,1.22,55,0.5,27,27.8
40,19.25,8.07,0.86,2.07,0.35,30,1.13
20,19.25,7.4,0.86,1.6,0.35,30,1
20,19.25,5.44,0.86,0.91,0.71,27,0.75
15,19.25,3.18,0.86,0.57,0.71,27,0.4
60,18.04,12.2,0.62,0.52,0.99,35,1.32
70,22.52,0,0.3,1.14,6.6,35,3.68
81,22.52,0,0.6,0.54,5.08,30,4.51
81,22.52,0,1,0.57,3.05,30,4.98
90,22.52,0,0.1,0.6,18.29,30,7.2
100,22.52,0.25,0.1,0.44,30.48,29,10.57
85,22.52,2.01,0.3,0.65,8.13,31,5.16
95,22.52,1,0.1,0.75,21.34,33,9.26
88,22.52,1,0.3,0.67,8.13,31,4.87
100,22.52,1.52,0.1,0.57,24.38,30,12.48
100,22.52,0.2,0.1,0.45,21.34,29,10.19
100,22.52,2.2,0.1,0.52,9.14,30,13.09
85,22.52,1.8,0.6,1.93,3.56,37,9.02
70,22.52,3,1,1.4,2.44,36,3.39
95,22.52,1,0.1,2.98,18.29,39,32.47
95,22.52,2,0.1,1.83,24.38,37,29.28
90,22.52,0.5,0.1,2.27,18.29,38,23.49
92,22.52,0.3,0.1,2.12,21.34,37,26.74
90,22.52,0.2,0.1,1.53,3.05,36,10.19
90,22.52,0.9,0.3,2.19,8.13,38,17.97
90,22.52,1.5,0.3,1.97,7.11,37,13.58
50,22.52,6,0.67,1.09,1.36,45,4.79
